id,symbol,name,usd,usd_market_cap,usd_24h_vol,usd_24h_change,last_updated_at,rank,coinGecko_link
colossuscoinxt,colx,ColossusXT,0,0,10,0,2020/12/31,3117,https://www.coingecko.com/en/coins/colossuscoinxt
combo-2,comb,Combo,0,0,58693,0,2020/12/31,3118,https://www.coingecko.com/en/coins/combo-2
comma-chain,cmc,COMMA Chain,0,0,23,,2020/11/3,3119,https://www.coingecko.com/en/coins/comma-chain
commercium,cmm,Commercium,0,0,2185,-4,2020/12/31,3120,https://www.coingecko.com/en/coins/commercium
commodity-ad-network,cdx,CDX Network,0,0,287,,2020/12/25,3121,https://www.coingecko.com/en/coins/commodity-ad-network
communication-development-resources-token,cdr,Communication Development Resources Token,0,0,1,1,2020/12/31,3122,https://www.coingecko.com/en/coins/communication-development-resources-token
community-chain,comc,Community Chain,0,0,3849,40,2020/12/31,3123,https://www.coingecko.com/en/coins/community-chain
community-generation,cgen,Community Generation Core,0,0,0,0,2020/12/31,3124,https://www.coingecko.com/en/coins/community-generation
compounder,cp3r,Compounder,0,0,105,-2,2020/12/31,3125,https://www.coingecko.com/en/coins/compounder
comsa,cms,COMSA,0,0,0,,2020/12/31,3126,https://www.coingecko.com/en/coins/comsa
concertvr,cvt,concertVR,0,0,1,0,2020/12/31,3127,https://www.coingecko.com/en/coins/concertvr
condensate,rain,Condensate,0,0,0,,2020/12/28,3128,https://www.coingecko.com/en/coins/condensate
conflux-token,cfx,Conflux Token,0,0,372040,0,2020/12/31,3129,https://www.coingecko.com/en/coins/conflux-token
connect-coin,xcon,Connect Coin,0,0,0,4,2020/12/30,3130,https://www.coingecko.com/en/coins/connect-coin
connect-mining-coin,xcmg,Connect Mining Token,0,0,834,-50,2020/12/29,3131,https://www.coingecko.com/en/coins/connect-mining-coin
